operator,family,phs_order,poly_deg,eps,N,nrmse,build_time_s,apply_time_s,build_bytes
laplacian,Gaussian,0,3,1.0,225,0.0014974027964655304,0.000722421,1.68e-6,9481416
laplacian,Gaussian,0,3,1.0,900,0.00012538288681421692,0.002570385,7.46e-6,36895568
laplacian,Gaussian,0,3,1.0,2025,0.00016426969948628536,0.005986611,1.958e-5,83763696
laplacian,Gaussian,0,3,1.0,4900,0.0008943899420423041,0.015555008,4.773e-5,201306464
laplacian,IMQ,0,4,1.0,225,0.00039191466484456323,0.001409592,2.26e-6,17805928
laplacian,IMQ,0,4,1.0,900,2.4588239185701114e-5,0.004858269,8.47e-6,71036048
laplacian,IMQ,0,4,1.0,2025,5.5513019200133307e-5,0.012362262,2.892e-5,159997200
laplacian,IMQ,0,4,1.0,4900,0.0006170320672934669,0.042959618,5.813e-5,389621544
laplacian,Gaussian,0,4,1.0,225,6.244610102610333e-5,0.001444953,2.09e-6,17805128
laplacian,Gaussian,0,4,1.0,900,0.0002662353246794887,0.004823259,1.184e-5,71035120
laplacian,Gaussian,0,4,1.0,2025,0.0004253253474010421,0.011136901,2.156e-5,160865192
laplacian,Gaussian,0,4,1.0,4900,0.0014879458892382723,0.044747101,6.661e-5,389376944
interpolation,PHS,1,1,0.0,225,0.007057601884472808,0.00023859,0.00016107,1000232
interpolation,PHS,1,1,0.0,900,0.0010500212679216698,0.007678774,0.000631591,14637816
interpolation,PHS,1,1,0.0,2025,0.00025787933151899176,0.041876345,0.001424473,71943760
interpolation,PHS,1,1,0.0,4900,7.350566875338864e-5,0.344183743,0.003570077,417546128
interpolation,PHS,3,2,0.0,225,0.000900774062517224,0.000430581,0.00016835,1112776
interpolation,PHS,3,2,0.0,900,0.00010192766669234392,0.009017136,0.000715261,14049584
interpolation,PHS,3,2,0.0,2025,1.5671873011634022e-5,0.047143505,0.001691313,72568840
interpolation,PHS,3,2,0.0,4900,3.219486729479779e-6,0.37010663,0.003804747,422168320
interpolation,PHS,5,3,0.0,225,0.0003511538943370392,0.000443801,0.00021373,1413752
interpolation,PHS,5,3,0.0,900,1.2956611939342514e-5,0.009171576,0.000680691,14674008
interpolation,PHS,5,3,0.0,2025,1.7559703787101534e-6,0.050409651,0.001479282,74482744
interpolation,PHS,5,3,0.0,4900,1.5446462354293312e-7,0.375119059,0.003506956,418384472
interpolation,PHS,7,4,0.0,225,0.00023956253206254026,0.000370601,0.000239691,1596856
interpolation,PHS,7,4,0.0,900,4.153091539726438e-6,0.008206425,0.000717041,15782880
interpolation,PHS,7,4,0.0,2025,3.0635171151663504e-7,0.052368154,0.001517672,72701096
interpolation,PHS,7,4,0.0,4900,1.9596134859433875e-8,0.390786677,0.003546646,430287472
interpolation,PHS,5,2,0.0,225,0.00034621563250846453,0.00033229,0.000184521,1035896
interpolation,PHS,5,2,0.0,900,1.2832035040122671e-5,0.007729444,0.000719251,13901048
interpolation,PHS,5,2,0.0,2025,1.6870629152467898e-6,0.045804133,0.001641143,72270432
interpolation,PHS,5,2,0.0,4900,1.4922629619723634e-7,0.346706538,0.003678597,403996912
interpolation,PHS,5,4,0.0,225,0.00032841272795810475,0.000348011,0.000256141,1558680
interpolation,PHS,5,4,0.0,900,1.045143048175069e-5,0.006420801,0.000725901,15344376
interpolation,PHS,5,4,0.0,2025,1.2740003887825802e-6,0.046955565,0.001536853,73296688
interpolation,PHS,5,4,0.0,4900,1.5178671847525475e-7,0.393373202,0.003555026,420462696
interpolation,PHS,5,5,0.0,225,0.0003683606550630997,0.000529061,0.000318051,1635256
interpolation,PHS,5,5,0.0,900,1.587884602907939e-5,0.008705186,0.000753832,16599360
interpolation,PHS,5,5,0.0,2025,2.2050882715679633e-6,0.047304595,0.001536203,74962784
interpolation,PHS,5,5,0.0,4900,2.0517268140069107e-7,0.372127354,0.003566916,416528640
interpolation,PHS,7,3,0.0,225,0.00023526230883825111,0.000371191,0.000251541,1361912
interpolation,PHS,7,3,0.0,900,3.988630023644774e-6,0.009320407,0.000686132,15112512
interpolation,PHS,7,3,0.0,2025,3.0048621012116735e-7,0.052965426,0.001525763,71639856
