operator,family,phs_order,poly_deg,eps,N,nrmse
gradient,IMQ,0,3,1.0,400,5.592510421588013e-5
gradient,IMQ,0,3,1.0,900,5.9210505462682315e-6
gradient,IMQ,0,3,1.0,2025,4.5433201728876966e-6
gradient,IMQ,0,3,1.0,4900,1.5202861053945788e-5
gradient,Gaussian,0,3,1.0,100,0.000585052263483768
gradient,Gaussian,0,3,1.0,225,9.28832618074045e-5
gradient,Gaussian,0,3,1.0,400,3.15352713318829e-5
gradient,Gaussian,0,3,1.0,900,4.6842975263128625e-6
gradient,Gaussian,0,3,1.0,2025,1.3632848243093154e-5
gradient,Gaussian,0,3,1.0,4900,1.5739998800882387e-5
gradient,IMQ,0,4,1.0,100,0.0003718528668448104
gradient,IMQ,0,4,1.0,225,2.3379190758053634e-5
gradient,IMQ,0,4,1.0,400,4.47302774443152e-6
gradient,IMQ,0,4,1.0,900,1.015582459339791e-6
gradient,IMQ,0,4,1.0,2025,1.5023779439524563e-6
gradient,IMQ,0,4,1.0,4900,1.878752827038879e-5
gradient,Gaussian,0,4,1.0,100,4.340542241364971e-5
gradient,Gaussian,0,4,1.0,225,3.522875898139667e-6
gradient,Gaussian,0,4,1.0,400,1.0882284093126663e-5
gradient,Gaussian,0,4,1.0,900,4.381726040240864e-6
gradient,Gaussian,0,4,1.0,2025,9.234491618039477e-6
gradient,Gaussian,0,4,1.0,4900,3.930570657925326e-5
partial1,PHS,1,1,0.0,100,0.09399447759550975
partial1,PHS,1,1,0.0,225,0.05262758763006462
partial1,PHS,1,1,0.0,400,0.03627807960550658
partial1,PHS,1,1,0.0,900,0.020723425601713683
partial1,PHS,1,1,0.0,2025,0.012941604048540032
partial1,PHS,1,1,0.0,4900,0.007900078522887414
partial1,PHS,3,2,0.0,100,0.022393633095557225
partial1,PHS,3,2,0.0,225,0.007708751677904198
partial1,PHS,3,2,0.0,400,0.004009595113442309
partial1,PHS,3,2,0.0,900,0.0014530731011765652
partial1,PHS,3,2,0.0,2025,0.0005916741113304285
partial1,PHS,3,2,0.0,4900,0.00022460788149974783
partial1,PHS,5,3,0.0,100,0.0038105348505969717
partial1,PHS,5,3,0.0,225,0.0009277430063216419
partial1,PHS,5,3,0.0,400,0.00034577158531888584
partial1,PHS,5,3,0.0,900,8.560020166362481e-5
partial1,PHS,5,3,0.0,2025,2.045391158213601e-5
partial1,PHS,5,3,0.0,4900,4.9156278812519735e-6
partial1,PHS,7,4,0.0,100,0.0011122538324040184
partial1,PHS,7,4,0.0,225,0.00016109042285927328
partial1,PHS,7,4,0.0,400,4.5561921243586366e-5
partial1,PHS,7,4,0.0,900,6.775892981628276e-6
partial1,PHS,7,4,0.0,2025,1.1322255074011076e-6
partial1,PHS,7,4,0.0,4900,1.746334111492785e-7
partial1,PHS,5,2,0.0,100,0.01448276713443831
partial1,PHS,5,2,0.0,225,0.005070362283655021
partial1,PHS,5,2,0.0,400,0.0026130912761177997
partial1,PHS,5,2,0.0,900,0.0009301306318132004
partial1,PHS,5,2,0.0,2025,0.0003794597672728352
partial1,PHS,5,2,0.0,4900,0.00014030544399489417
partial1,PHS,5,4,0.0,100,0.0015934043286458257
partial1,PHS,5,4,0.0,225,0.0002460024827652771
partial1,PHS,5,4,0.0,400,6.725730327733088e-5
partial1,PHS,5,4,0.0,900,1.0399898001051118e-5
partial1,PHS,5,4,0.0,2025,1.695781623103697e-6
partial1,PHS,5,4,0.0,4900,2.483718281981235e-7
partial1,PHS,5,5,0.0,100,0.00042960711699263003
partial1,PHS,5,5,0.0,225,3.865954398780202e-5
partial1,PHS,5,5,0.0,400,6.743113137232601e-6
partial1,PHS,5,5,0.0,900,5.951390777648055e-7
partial1,PHS,5,5,0.0,2025,6.189608391954799e-8
partial1,PHS,5,5,0.0,4900,6.435848668904219e-9
partial1,PHS,7,3,0.0,100,0.0021816285289141335
partial1,PHS,7,3,0.0,225,0.0005069911163621937
partial1,PHS,7,3,0.0,400,0.00018705727582139033
partial1,PHS,7,3,0.0,900,4.355018998459545e-5
partial1,PHS,7,3,0.0,2025,1.0917569933336647e-5
partial1,PHS,7,3,0.0,4900,2.8926526622420726e-6
partial1,PHS,7,5,0.0,100,0.00025762251414401224
partial1,PHS,7,5,0.0,225,2.604597424315844e-5
partial1,PHS,7,5,0.0,400,4.790354431992199e-6
partial1,PHS,7,5,0.0,900,4.3941299848825987e-7
partial1,PHS,7,5,0.0,2025,4.5434930825446703e-8
partial1,PHS,7,5,0.0,4900,4.948117633201302e-9
partial1,PHS,7,6,0.0,100,0.00013060985841950414
partial1,PHS,7,6,0.0,225,7.137587360436715e-6
partial1,PHS,7,6,0.0,400,1.0469438047888051e-6
