operator,family,poly_deg,eps,N,nrmse,cond_est
laplacian_polysweep,Gaussian,0,0.9676410537094535,900,0.3819637253475088,NaN
laplacian_polysweep,Gaussian,0,1.4125375446227544,900,0.38226347384122117,NaN
laplacian_polysweep,Gaussian,0,2.06198600950222,900,0.3848990803263958,NaN
laplacian_polysweep,Gaussian,0,3.0100341895821345,900,0.3996038720254309,NaN
laplacian_polysweep,Gaussian,0,4.393970560760792,900,0.46217956530571397,NaN
laplacian_polysweep,Gaussian,0,6.414205312236928,900,0.6679862666786224,NaN
laplacian_polysweep,Gaussian,0,9.363292088239415,900,1.1935291800914847,NaN
laplacian_polysweep,Gaussian,0,13.668293180829261,900,2.3222008769668485,NaN
laplacian_polysweep,Gaussian,0,19.952623149688797,900,4.494310375874101,NaN
laplacian_polysweep,Gaussian,1,0.1,900,0.13481241594389679,NaN
laplacian_polysweep,Gaussian,1,0.14597743028861676,900,0.12368146912588253,NaN
laplacian_polysweep,Gaussian,1,0.21309410153667974,900,0.1103735920270478,NaN
laplacian_polysweep,Gaussian,1,0.3110692935198609,900,0.0983823154682336,NaN
laplacian_polysweep,Gaussian,1,0.4540909610972476,900,0.09221668483397151,NaN
laplacian_polysweep,Gaussian,1,0.6628703161826445,900,0.09373854301264961,NaN
laplacian_polysweep,Gaussian,1,0.9676410537094535,900,0.10060139268752445,NaN
laplacian_polysweep,Gaussian,1,1.4125375446227544,900,0.10988746684800865,NaN
laplacian_polysweep,Gaussian,1,2.06198600950222,900,0.12178915851072492,NaN
laplacian_polysweep,Gaussian,1,3.0100341895821345,900,0.1390612614890387,NaN
laplacian_polysweep,Gaussian,1,4.393970560760792,900,0.16375554715430687,NaN
laplacian_polysweep,Gaussian,1,6.414205312236928,900,0.19648423727894382,NaN
laplacian_polysweep,Gaussian,1,9.363292088239415,900,0.24055110109302597,NaN
laplacian_polysweep,Gaussian,1,13.668293180829261,900,0.3125623058773174,NaN
laplacian_polysweep,Gaussian,1,19.952623149688797,900,0.46303181594395404,NaN
laplacian_polysweep,Gaussian,2,0.1,900,0.04292952296780219,NaN
laplacian_polysweep,Gaussian,2,0.14597743028861676,900,0.02641156370104056,NaN
laplacian_polysweep,Gaussian,2,0.21309410153667974,900,0.09530389109881614,NaN
laplacian_polysweep,Gaussian,2,0.3110692935198609,900,0.0026586944298852447,NaN
laplacian_polysweep,Gaussian,2,0.4540909610972476,900,0.0024826398482936237,NaN
laplacian_polysweep,Gaussian,2,0.6628703161826445,900,0.0024635206326474248,NaN
laplacian_polysweep,Gaussian,2,0.9676410537094535,900,0.002480322074721047,NaN
laplacian_polysweep,Gaussian,2,1.4125375446227544,900,0.0026847045110377646,NaN
laplacian_polysweep,Gaussian,2,2.06198600950222,900,0.0034196880437367063,NaN
laplacian_polysweep,Gaussian,2,3.0100341895821345,900,0.00503553897926067,NaN
laplacian_polysweep,Gaussian,2,4.393970560760792,900,0.007667920606792177,NaN
laplacian_polysweep,Gaussian,2,6.414205312236928,900,0.011258992340737404,NaN
laplacian_polysweep,Gaussian,2,9.363292088239415,900,0.015915195395422736,NaN
laplacian_polysweep,Gaussian,2,13.668293180829261,900,0.022526785916752726,NaN
laplacian_polysweep,Gaussian,2,19.952623149688797,900,0.03190334912790566,NaN
laplacian_polysweep,Gaussian,3,0.1,900,0.056187334227200264,NaN
laplacian_polysweep,Gaussian,3,0.14597743028861676,900,0.09602453388916234,NaN
laplacian_polysweep,Gaussian,3,0.21309410153667974,900,0.07064137402100346,NaN
laplacian_polysweep,Gaussian,3,0.3110692935198609,900,0.006618797444539282,NaN
laplacian_polysweep,Gaussian,3,0.4540909610972476,900,0.007286564308543102,NaN
laplacian_polysweep,Gaussian,3,0.6628703161826445,900,0.000358788463106235,NaN
laplacian_polysweep,Gaussian,3,0.9676410537094535,900,0.00012213409804565025,NaN
laplacian_polysweep,Gaussian,3,1.4125375446227544,900,0.00013681887497854839,NaN
laplacian_polysweep,Gaussian,3,2.06198600950222,900,0.00018336227984089954,NaN
laplacian_polysweep,Gaussian,3,3.0100341895821345,900,0.0002745993734121096,NaN
laplacian_polysweep,Gaussian,3,4.393970560760792,900,0.00044660880550215145,NaN
laplacian_polysweep,Gaussian,3,6.414205312236928,900,0.0007702187270287106,NaN
laplacian_polysweep,Gaussian,3,9.363292088239415,900,0.0013331611137850114,NaN
laplacian_polysweep,Gaussian,3,13.668293180829261,900,0.002255028523515361,NaN
laplacian_polysweep,Gaussian,3,19.952623149688797,900,0.003529568647426537,NaN
laplacian_polysweep,Gaussian,4,0.1,900,0.024062883732927445,NaN
laplacian_polysweep,Gaussian,4,0.14597743028861676,900,0.010821515750749935,NaN
laplacian_polysweep,Gaussian,4,0.21309410153667974,900,0.3569292398951912,NaN
laplacian_polysweep,Gaussian,4,0.3110692935198609,900,0.008767496872839325,NaN
laplacian_polysweep,Gaussian,4,0.4540909610972476,900,0.0022359809771522595,NaN
